Game Number,Final Step,Multiplier,Outcome,Winnings,Cost,Crash Point,Cashout Point,Used Bonus
9164,10,6.84,Crashed during move,0.00,4.85,11,20,Mystic
9165,4,2.16,Crashed during move,0.00,4.85,7,20,Mystic
9166,3,1.78,Crashed during move,0.00,4.85,4,20,Mystic
9167,5,2.62,Crashed during move,0.00,4.85,7,20,Mystic
9168,20,46.82,Cashed out,46.82,140.11,26,20,Mystic
9169,0,1.00,Crashed during move,0.00,1.00,6,20,
9170,20,46.82,Cashed out,46.82,4.85,42,20,Mystic
9171,20,46.82,Cashed out,46.82,56.58,27,20,Mystic
9172,11,8.29,Crashed during move,0.00,4.85,12,20,Mystic
9173,20,46.82,Cashed out,46.82,36.78,22,20,Mystic
9174,20,46.82,Cashed out,46.82,36.78,31,20,Mystic
9175,0,1.00,Crashed during move,0.00,1.00,4,20,
9176,0,1.00,Crashed during move,0.00,1.00,3,20,
9177,7,3.84,Crashed during move,0.00,4.85,8,20,Mystic
9178,8,4.66,Crashed during move,0.00,4.85,14,20,Mystic
9179,20,46.82,Cashed out,46.82,13.21,23,20,Mystic
9180,3,1.78,Crashed during move,0.00,4.85,11,20,Mystic
9181,20,46.82,Cashed out,46.82,26.59,27,20,Mystic
9182,20,46.82,Cashed out,46.82,36.78,24,20,Mystic
9183,3,1.78,Crashed during move,0.00,1.00,4,20,
9184,11,8.29,Crashed during move,0.00,4.85,14,20,Mystic
9185,0,1.00,Crashed during move,0.00,1.00,1,20,
9186,10,6.84,Crashed during move,0.00,5.67,11,20,Mystic
9187,20,46.82,Cashed out,46.82,45.14,36,20,Mystic
9188,0,1.00,Crashed during move,0.00,1.00,2,20,
9189,0,1.00,Crashed during move,0.00,1.00,6,20,
9190,20,46.82,Cashed out,46.82,120.89,26,20,Mystic
9191,20,46.82,Cashed out,46.82,106.31,29,20,Mystic
9192,3,1.78,Crashed during move,0.00,1.00,6,20,
9193,0,1.00,Crashed during move,0.00,1.00,4,20,
9194,0,1.00,Crashed during move,0.00,1.00,1,20,
9195,20,46.82,Cashed out,46.82,88.38,45,20,Mystic
9196,8,4.66,Crashed during move,0.00,4.85,11,20,Mystic
9197,0,1.00,Crashed during move,0.00,1.00,1,20,
9198,11,8.29,Crashed during move,0.00,17.06,12,20,Mystic
9199,0,1.00,Crashed during move,0.00,1.00,3,20,
9200,20,46.82,Cashed out,46.82,153.91,30,20,Mystic
9201,20,46.82,Cashed out,46.82,179.93,27,20,Mystic
9202,0,1.00,Crashed during move,0.00,1.00,2,20,
9203,20,46.82,Cashed out,46.82,57.57,26,20,Mystic
9204,18,31.87,Crashed during move,0.00,36.78,19,20,Mystic
9205,20,46.82,Cashed out,46.82,185.51,31,20,Mystic
9206,3,1.78,Crashed during move,0.00,4.85,4,20,Mystic
9207,9,5.65,Crashed during move,0.00,4.85,11,20,Mystic
9208,2,1.47,Crashed during move,0.00,1.00,3,20,
9209,6,3.17,Crashed during move,0.00,5.67,7,20,Mystic
9210,8,4.66,Crashed during move,0.00,4.85,10,20,Mystic
9211,20,46.82,Cashed out,46.82,36.78,34,20,Mystic
9212,8,4.66,Crashed during move,0.00,4.85,14,20,Mystic
9213,4,2.16,Crashed during move,0.00,5.67,5,20,Mystic
9214,15,17.90,Crashed during move,0.00,26.59,16,20,Mystic
